iter	Passed	Remaining
0	6	6219
1	13	6773
2	20	6882
3	28	7002
4	37	7560
5	43	7163
6	53	7642
7	61	7608
8	69	7619
9	80	7924
10	86	7777
11	91	7569
12	99	7590
13	108	7624
14	114	7520
15	120	7428
16	127	7399
17	138	7569
18	145	7506
19	151	7404
20	159	7443
21	167	7452
22	174	7422
23	185	7535
24	193	7527
25	200	7526
26	206	7444
27	212	7360
28	217	7275
29	232	7514
30	247	7720
31	257	7794
32	265	7782
33	271	7707
34	276	7626
35	282	7570
36	288	7518
37	298	7553
38	303	7488
39	311	7466
40	318	7450
41	334	7622
42	348	7758
43	364	7913
44	376	7991
45	392	8136
46	404	8211
47	421	8352
48	432	8393
49	438	8323
50	444	8270
51	454	8282
52	459	8217
53	465	8151
54	472	8112
55	478	8074
56	486	8053
57	492	8006
58	500	7988
59	506	7940
60	518	7980
61	525	7950
62	533	7927
63	540	7898
64	545	7847
65	550	7796
66	556	7755
67	563	7725
68	568	7676
69	574	7634
70	580	7589
71	585	7546
72	591	7505
73	596	7461
74	601	7416
75	606	7376
76	611	7335
77	628	7425
78	637	7432
79	646	7432
80	654	7424
81	661	7404
82	693	7661
83	700	7639
84	706	7602
85	711	7561
86	716	7522
87	723	7496
88	728	7460
89	734	7429
90	740	7394
91	745	7359
92	751	7324
93	756	7289
94	761	7256
95	767	7224
96	773	7202
97	778	7169
98	784	7141
99	789	7107
100	795	7076
101	800	7046
102	805	7016
103	811	6987
104	816	6958
105	821	6932
106	827	6905
107	832	6877
108	837	6849
109	843	6821
110	848	6796
111	853	6769
112	859	6743
113	864	6718
114	870	6697
115	875	6673
116	880	6647
117	888	6638
118	893	6616
119	898	6590
120	903	6564
121	909	6542
122	914	6521
123	920	6499
124	925	6477
125	930	6455
126	935	6433
127	941	6414
128	947	6394
129	952	6372
130	957	6351
131	962	6330
132	968	6310
133	973	6292
134	978	6272
135	984	6253
136	989	6232
137	994	6213
138	1000	6195
139	1005	6178
140	1011	6161
141	1016	6143
142	1021	6124
143	1027	6107
144	1032	6088
145	1037	6071
146	1043	6052
147	1048	6034
148	1054	6020
149	1059	6005
150	1065	5989
151	1070	5971
152	1077	5963
153	1089	5984
154	1102	6009
155	1110	6010
156	1119	6010
157	1126	6004
158	1134	6003
159	1140	5987
160	1146	5973
161	1151	5957
162	1157	5943
163	1162	5927
164	1168	5911
165	1173	5893
166	1178	5879
167	1186	5876
168	1193	5866
169	1199	5856
170	1205	5841
171	1210	5827
172	1215	5811
173	1221	5797
174	1226	5782
175	1231	5766
176	1237	5751
177	1242	5736
178	1247	5721
179	1252	5706
180	1258	5692
181	1263	5679
182	1269	5665
183	1274	5651
184	1280	5639
185	1285	5626
186	1293	5624
187	1298	5610
188	1304	5597
189	1310	5588
190	1316	5575
191	1321	5562
192	1327	5551
193	1335	5549
194	1342	5541
195	1348	5531
196	1353	5519
197	1360	5512
198	1366	5498
199	1371	5484
200	1376	5471
201	1383	5465
202	1390	5460
203	1399	5460
204	1406	5454
205	1412	5445
206	1422	5448
207	1428	5438
208	1434	5429
209	1440	5419
210	1445	5406
211	1451	5394
212	1456	5383
213	1462	5372
214	1470	5368
215	1475	5355
216	1481	5345
217	1487	5335
218	1493	5325
219	1499	5315
220	1506	5309
221	1513	5305
222	1522	5303
223	1528	5294
224	1538	5299
225	1544	5287
226	1550	5278
227	1558	5275
228	1563	5264
229	1570	5259
230	1577	5252
231	1586	5250
232	1591	5239
233	1598	5232
234	1606	5228
235	1611	5218
236	1618	5209
237	1625	5204
238	1632	5199
239	1646	5214
240	1655	5212
241	1663	5211
242	1669	5199
243	1674	5188
244	1679	5175
245	1687	5173
246	1693	5164
247	1699	5152
248	1705	5144
249	1710	5132
250	1717	5124
251	1724	5118
252	1733	5118
253	1744	5122
254	1749	5112
255	1758	5110
256	1765	5103
257	1771	5094
258	1777	5084
259	1783	5075
260	1789	5066
261	1796	5061
262	1806	5060
263	1818	5070
264	1827	5069
265	1840	5079
266	1852	5087
267	1869	5105
268	1878	5106
269	1891	5113
270	1907	5130
271	1922	5145
272	1946	5183
273	2008	5321
274	2045	5393
275	2083	5466
276	2100	5483
277	2126	5524
278	2152	5561
279	2177	5598
280	2194	5614
281	2217	5645
282	2228	5644
283	2233	5631
284	2239	5617
285	2244	5603
286	2250	5590
287	2255	5575
288	2260	5561
289	2266	5547
290	2271	5534
291	2276	5519
292	2283	5510
293	2288	5496
294	2296	5489
295	2302	5476
296	2307	5461
297	2312	5448
298	2317	5434
299	2323	5420
300	2328	5407
301	2334	5394
302	2340	5383
303	2353	5388
304	2363	5385
305	2372	5380
306	2378	5369
307	2387	5364
308	2392	5351
309	2398	5337
310	2403	5325
311	2410	5315
312	2415	5301
313	2421	5289
314	2426	5276
315	2431	5263
316	2436	5250
317	2442	5237
318	2448	5228
319	2455	5217
320	2463	5211
321	2474	5211
322	2482	5204
323	2488	5191
324	2493	5179
325	2499	5166
326	2504	5153
327	2509	5141
328	2514	5129
329	2520	5118
330	2527	5108
331	2532	5096
332	2538	5084
333	2543	5072
334	2550	5063
335	2559	5058
336	2570	5057
337	2582	5059
338	2596	5063
339	2612	5071
340	2628	5078
341	2640	5081
342	2654	5083
343	2668	5089
344	2679	5087
345	2691	5088
346	2704	5088
347	2716	5088
348	2722	5079
349	2729	5069
350	2736	5059
351	2743	5050
352	2750	5041
353	2757	5031
354	2765	5024
355	2771	5013
356	2780	5008
357	2785	4995
358	2791	4984
359	2797	4973
360	2809	4973
361	2817	4965
362	2823	4955
363	2829	4944
364	2838	4937
365	2850	4937
366	2856	4926
367	2864	4919
368	2871	4910
369	2879	4902
370	2884	4890
371	2892	4882
372	2900	4876
373	2908	4868
374	2913	4856
375	2919	4844
376	2925	4834
377	2930	4822
378	2935	4810
379	2941	4799
380	2947	4787
381	2951	4775
382	2958	4765
383	2963	4754
384	2969	4743
385	2976	4734
386	2986	4729
387	2992	4719
388	2999	4710
389	3010	4708
390	3016	4698
391	3021	4686
392	3029	4678
393	3034	4667
394	3045	4664
395	3055	4660
396	3073	4668
397	3093	4679
398	3106	4679
399	3115	4673
400	3127	4672
401	3134	4662
402	3142	4655
403	3152	4651
404	3160	4643
405	3167	4633
406	3173	4623
407	3192	4631
408	3206	4633
409	3212	4622
410	3217	4611
411	3223	4600
412	3233	4595
413	3239	4585
414	3245	4574
415	3251	4564
416	3256	4553
417	3262	4542
418	3270	4534
419	3276	4524
420	3281	4512
421	3286	4501
422	3291	4490
423	3300	4483
424	3312	4481
425	3321	4476
426	3327	4464
427	3332	4453
428	3337	4442
429	3343	4431
430	3348	4420
431	3353	4409
432	3358	4398
433	3364	4387
434	3369	4376
435	3375	4366
436	3380	4355
437	3385	4344
438	3391	4333
439	3396	4323
440	3402	4312
441	3407	4301
442	3412	4290
443	3418	4280
444	3423	4269
445	3429	4259
446	3434	4249
447	3440	4239
448	3445	4227
449	3451	4217
450	3456	4207
451	3461	4196
452	3467	4186
453	3472	4176
454	3477	4165
455	3483	4155
456	3488	4145
457	3495	4136
458	3500	4125
459	3506	4115
460	3511	4105
461	3517	4095
462	3522	4085
463	3528	4075
464	3533	4065
465	3540	4057
466	3545	4047
467	3552	4037
468	3557	4028
469	3566	4021
470	3574	4014
471	3582	4007
472	3588	3998
473	3594	3988
474	3599	3978
475	3605	3968
476	3610	3958
477	3616	3948
478	3625	3943
479	3630	3933
480	3636	3923
481	3641	3913
482	3646	3903
483	3652	3893
484	3657	3883
485	3662	3873
486	3668	3863
487	3673	3854
488	3678	3844
489	3683	3834
490	3688	3824
491	3694	3814
492	3699	3804
493	3704	3794
494	3709	3784
495	3715	3774
496	3720	3764
497	3725	3755
498	3730	3745
499	3736	3736
500	3741	3726
501	3747	3717
502	3752	3707
503	3757	3697
504	3763	3688
505	3768	3679
506	3773	3669
507	3779	3659
508	3783	3650
509	3790	3641
510	3795	3632
511	3801	3623
512	3807	3614
513	3812	3604
514	3818	3595
515	3823	3586
516	3829	3577
517	3834	3568
518	3839	3558
519	3845	3549
520	3851	3540
521	3856	3531
522	3862	3522
523	3869	3514
524	3874	3505
525	3879	3496
526	3884	3486
527	3889	3477
528	3894	3467
529	3900	3458
530	3905	3449
531	3910	3440
532	3915	3431
533	3921	3422
534	3926	3412
535	3931	3403
536	3936	3394
537	3941	3385
538	3947	3376
539	3953	3367
540	3958	3358
541	3963	3349
542	3968	3340
543	3979	3335
544	3994	3334
545	4006	3331
546	4016	3326
547	4022	3317
548	4028	3309
549	4036	3302
550	4047	3298
551	4053	3289
552	4058	3280
553	4063	3271
554	4071	3264
555	4077	3255
556	4082	3246
557	4087	3237
558	4093	3229
